web-scraper-order,web-scraper-start-url,name
"1659354755-3398","https://gbbf.realaledb.com/LiveBar.php","St Austell									 - Korev									  - 4.8%
										- Lager											
											B03											

										
									    																				
										 									   
									   								   										   										   										   											   
										 It's taken us nearly 160 years to create the perfect lager, and we wanted to make sure it was uniquely Cornish. Crafted at our brewery in St Austell, we've used the finest lager malt from barley grown right here in Cornwall. Korev has a wonderful pale colour and a clean, crisp taste, bottled in amber glass to protect the freshness. We think you'll agree it's been worth the wait."
"1659354755-3305","https://gbbf.realaledb.com/LiveBar.php","Pohjala (Estonia)									 - Helge									  - 5%
										- IPA											
											B18											

										
									      										
										 									   
									   								   										   																					   										   											   
										 Tasting notes not available"
"1659354755-3345","https://gbbf.realaledb.com/LiveBar.php","Rhymney									 - Hobby Horse									  - 3.8%
										- Bitter											
											B09											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Originally brewed in 1879, Hobby Horse very quickly became a throughbred. We hope this hand crafted ale will awaken and re-kindle your senses. Take time out for sumptuous injection and nostalgia."
"1659354755-3111","https://gbbf.realaledb.com/LiveBar.php","Great Oakley									 - Welland Valley Mild									  - 3.6%
										- Mild											
											B12											

										
									    																				
										 									   
									   								   										   										   										   											   
										 A true mild in every sense of the word. Dark and flavoursome with a slight roast taste."
"1659354755-3196","https://gbbf.realaledb.com/LiveBar.php","Lervig (Norway)									 - Foeder Abricots by Rackhouse 									  - 6.5%
										- Other											
											B18											

										
									      										
										 									   
									   								   										   										   										   											   
										 Tasting notes not available"
"1659354755-2958","https://gbbf.realaledb.com/LiveBar.php","Brouwerij Kees (Netherlands)									 - Keyboard Warrior									  - 7%
										- IPA											
											B15											

										
									      										
										 									   
									   								   										   										   										   											   
										 Surprisingly easy drinking IPA - Well balanced malt,resin and hoppy flavours make this very enjoyable."
"1659354755-3431","https://gbbf.realaledb.com/LiveBar.php","Swannay									 - Orkney IPA									  - 4.8%
										- IPA											
											B12											

										
									    																				
										 									   
									   								   										   										   										   											   
										 A modern IPA, not overly bitter but still nicely hoppy and at 4.8%, just about a session IPA for a sensible night's drinking. The hop profile is nothing short of stunning."
"1659354755-3496","https://gbbf.realaledb.com/LiveBar.php","Vitamin Sea Brewing (USA)									 - Lost Harbor									  - 5%
										- Bitter											
											B17											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Tasting notes not available"
"1659354755-3354","https://gbbf.realaledb.com/LiveBar.php","Salama (Finland)									 - Drowning Doppelganger									  - 11%
										- Barley Wine											
											B18											

										
									      										
										 									   
									   								   										   										   										   											   
										 Tasting notes not available"
"1659354755-3086","https://gbbf.realaledb.com/LiveBar.php","Fyne Ales									 - Avalanche									  - 4.5%
										- Golden											
											B06											

										
									    																				
										 									   
									   								   										   										   										   											   
										 This true golden ale starts with stunning citrus on the nose. Well- balanced with good body and fruit balancing with a refreshing hoppy taste, it finishes with a long bittersweet aftertaste."
"1659354755-3320","https://gbbf.realaledb.com/LiveBar.php","Puhaste (Estonia)									 - Muda									  - 11%
										- Stout											
											B18											

										
									      										
										 									   
									   								   										   										   										   											   
										 Tasting notes not available"
"1659354755-3204","https://gbbf.realaledb.com/LiveBar.php","Little Valley									 - Python IPA									  - 6%
										- IPA											
											B14											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Python IPA is a straw coloured, double hopped, original IPA. It provides a strong malty taste with a delicious balance of hops and bitterness. This beer will easily survive the long journey to India."
"1659354755-3413","https://gbbf.realaledb.com/LiveBar.php","Stroud									 - Hop Drop									  - 4.5%
										- Pale											
											B04											

										
									    																				
										 									   
									   								   										   										   										   											   
										 A tropical fruit explosion from an abundance of organic Citra and El Dorado hops"
"1659354755-3080","https://gbbf.realaledb.com/LiveBar.php","Five Points									 - XPA									  - 4%
										- Pale											
											B08											

										
									    																				
										 									   
									   								   										   										   										   											   
										 A light and tropical extra pale ale with assertive hop bitterness and aromas of mango and passionfruit. Even paler and hoppier than our legendary Five Points Pale"
"1659354755-3399","https://gbbf.realaledb.com/LiveBar.php","St Austell									 - Mena Dhu Stout									  - 4.5%
										- Stout											
											B03											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Complex and flavoursome. Deceptively light and refreshing. Subtle oak smoked aroma. Hint of dark chocolate taste. Delicate touch of liquorice on the finish."
"1659354755-3172","https://gbbf.realaledb.com/LiveBar.php","Kelchner									 - Honey Trap									  - 4.8%
										- Speciality											
											B01											

										
									    																				
										 									   
									   								   										   										   										   											   
										 This beer is brewed with gallons of Bedfordshire honey complimented by a generous portion of malt, wheat, hops, orange and spices. You are overwhelmed with fresh aromas of wild honey flowers, citrus & spice, giving a refreshingly delicious brew"
"1659354755-3177","https://gbbf.realaledb.com/LiveBar.php","Kereru (New Zealand)									 - Feijoa Weisse									  - 3.8%
										- Other											
											B18											

										
									      										
										 									   
									   								   										   										   										   											   
										 Tasting notes not available"
"1659354755-3531","https://gbbf.realaledb.com/LiveBar.php","Yates (IoW)									 - Beachcomber									  - 4.3%
										- Blonde											
											B09											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Straw coloured easy drinking summer ale with a distinctive fresh aroma with a crisp clean hoppy finish"
"1659354755-3340","https://gbbf.realaledb.com/LiveBar.php","Redemption									 - Fellowship Porter									  - 5.1%
										- Porter											
											B12											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Dark brown colour with chocolate, coffee, liquorice and some dry roasted malts flavours complimented with hints of dark fruit. Generous late hopping adds a hint of zest and initially sweetness fades into restrained bitter finish. Deceptively drinkable"
"1659354755-2891","https://gbbf.realaledb.com/LiveBar.php","Baladin (Italy)									 - Xyauyù Oro									  - 14%
										- Barley Wine											
											B15											

										
									      										
										 									   
									   								   										   										   										   											   
										 Tasting notes not available"
"1659354755-2877","https://gbbf.realaledb.com/LiveBar.php","Arpus (Latvia)									 - Lime and Vanilla									  - 8%
										- Other											
											B18											

										
									      										
										 									   
									   								   										   										   										   											   
										 Tasting notes not available"
"1659354755-3510","https://gbbf.realaledb.com/LiveBar.php","Wild Beer									 - Bibble									  - 4.2%
										- Pale											
											B05											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Brewed with Vienna Malt and Oats, an unusual mouth filling malt base. Hopped with beautiful Mosaic hops, renowned for their tropical fruit beauty, helped along with some nice orangey Amarillo hops both at the end of the boil and in the dry hop. It is unfined, so naturally hazy. A moreish bitterness is complimented by tropical fruit tastiness."
"1659354755-2955","https://gbbf.realaledb.com/LiveBar.php","Brouwerij Kees (Netherlands)									 - Catch Me by The Coconuts									  - 11.9%
										- Other											
											B15											

										
									      										
										 									   
									   								   										   										   										   											   
										 Think macaroon in alcohol form."
"1659354755-2851","https://gbbf.realaledb.com/LiveBar.php","AleSmith Brewing Company (USA)									 - Be Kind, Ryewine 2021									  - 12%
										- Speciality											
											B17											

										
									      										
										 									   
									   								   										   										   										   											   
										 Tasting notes not available"
"1659354755-3021","https://gbbf.realaledb.com/LiveBar.php","De Graal (Belgium)									 - Gember									  - 8%
										- Speciality											
											B15											

										
									      										
										 									   
									   								   										   										   										   											   
										 Tasting notes not available"
"1659354755-2950","https://gbbf.realaledb.com/LiveBar.php","Brewster's Brewery									 - Virago									  - 5.8%
										- IPA											
											B12											

										
									    																				
										 									   
									   								   										   										   										   											   
										 A rich golden ale with a hint of malt sweetness with passion fruit and grapefruit aromas. Dry hopping gives distinctive notes of gooseberry, pine and lemon zest"
"1659354755-3315","https://gbbf.realaledb.com/LiveBar.php","Porta Bruciata (Italy)									 - Orifiamma									  - 6%
										- IPA											
											B15											

										
									      										
										 									   
									   								   										   										   										   											   
										 Tasting notes not available"
"1659354755-3097","https://gbbf.realaledb.com/LiveBar.php","Gamma (Denmark)									 - Warp									  - 8.1%
										- IPA											
											B18											

										
									      										
										 									   
									   								   										   										   										   											   
										 Tasting notes not available"
"1659354755-3291","https://gbbf.realaledb.com/LiveBar.php","Oakham Ales									 - Citra									  - 4.2%
										- Pale											
											B01											

										
									    																				
										 									   
									   								   										   										   										   											   
										 A light refreshing beer with pungent grapefruit, lychee and gooseberry aromas leading to a dry, bitter finish"
"1659354755-2956","https://gbbf.realaledb.com/LiveBar.php","Brouwerij Kees (Netherlands)									 - Export Porter 1750									  - 10.9%
										- Porter											
											B15											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Flavours of light smoke, liquorice, dark malt, coffee and dark chocolate balanced by a lingering bitterness."
"1659354755-3206","https://gbbf.realaledb.com/LiveBar.php","Loch Lomond									 - Silkie Stout									  - 5%
										- Stout											
											B09											

										
									    																				
										 									   
									   								   										   										   										   											   
										 A robust oatmeal stout. A roast coffee aroma leads to a rich, chocolate flavour that is rounded off with a smooth and creamy flavour."
"1659354755-3457","https://gbbf.realaledb.com/LiveBar.php","To Ol (Denmark)									 - Raspmatazz									  - 4%
										- Other											
											B18											

										
									      										
										 									   
									   								   										   										   										   											   
										 Tasting notes not available"
"1659354755-3139","https://gbbf.realaledb.com/LiveBar.php","Hilltop (Italy)									 - Sour Fruit - Guava Rosa & Passion Fruit									  - 4.5%
										- Other											
											B15											

										
									      										
										 									   
									   								   										   										   										   											   
										 Tasting notes not available"
"1659354755-3161","https://gbbf.realaledb.com/LiveBar.php","Jolly Sailor									 - Selby Mild									  - 4%
										- Mild											
											B12											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Selby Mild has rich dark treacle characterists and a mellow sweetness from dark crystal malts with moderate hop character derived from Pilgrim and Goldings hops"
"1659354755-3479","https://gbbf.realaledb.com/LiveBar.php","Vale									 - Red Kite									  - 4%
										- Bitter											
											B08											

										
									    																				
										 									   
									   								   										   										   										   											   
										 Red Kite is a refreshing Chestnut Red beer with a bitter finish. Maris Otter Crystal, Chocolate and roasted barley provide a full body whilst Northdown, Fuggle, Williamette and Brewers Gold hops combine to offer a subtle starting bitterness with a strong bitter finish."
"1659354755-3318","https://gbbf.realaledb.com/LiveBar.php","Problem Child									 - Vaccine									  - 4%
										- Bitter											
											B12											

										
									    																				
										 									   
									   								   										   										   										   											   
										 A copper coloured ale with flavours of orange and caramel."
